id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2059153,A Beautiful Home From Home,9874271,Jonathan,,Westminster,51.518,-0.13528,Entire home/apt,199,2,39,2021-04-27,0.42,2,0,1,
2673638,Double bedroom in 2 bedroom flat,13688311,Tiziana,,Newham,51.52948,0.02081,Private room,45,2,5,2020-09-12,0.05,1,311,0,
3182243,GIDEA PARK   ESSEX    SINGLE ROOM,8584509,Paul,,Havering,51.58064,0.20099,Private room,30,1,16,2020-01-24,0.2,1,363,0,
3327563,Double Room in London Portobello,9103923,Massimo,,Kensington and Chelsea,51.51597,-0.21058,Private room,51,7,21,2015-11-01,0.23,5,0,0,
3396807,Beautiful Queens Park 4 Bed House,17137347,Adam,,Brent,51.53674,-0.22023,Entire home/apt,500,7,3,2019-07-03,0.07,1,350,0,
3461949,Cute one-bedroom flat in lovely Camberwell,17444802,Joseph,,Southwark,51.4725,-0.09742,Entire home/apt,55,5,10,2020-01-09,0.11,1,173,0,
3518264,"Brilliant, modern flat in Bow",14006672,Phillip,,Tower Hamlets,51.52522,-0.02925,Entire home/apt,65,2,0,,,1,0,0,
3519290,Modern one bedroom flat in North London (Zone 2),6372543,Andrew,,Islington,51.56044,-0.11518,Entire home/apt,94,6,45,2021-11-13,0.5,1,276,2,
3634802,"Authentic 3 Bed Historic house Soho, London",17279844,Tijana,,Westminster,51.51416,-0.13493,Entire home/apt,253,4,68,2020-02-24,0.8,3,0,0,
3879416,Lovely room next to Hampstead Heath,10466259,Sami,,Camden,51.56067,-0.14823,Private room,60,1,0,,,1,0,0,
3997029,Modern apartment near DLR and Excel,20427721,Naiyeem,,Newham,51.50781,0.01818,Entire home/apt,68,2,8,2016-05-02,0.09,1,0,0,
4210429,Private double room,21842165,Anna,,Tower Hamlets,51.51703,-0.02264,Private room,60,1,2,2015-10-05,0.02,2,0,0,
4322292,Cosy 1 Bedroom in 2 Bed shared flat,1471149,Yvonne,,Islington,51.54087,-0.11964,Private room,100,7,0,,,1,0,0,
4406677,property in earls court,22842884,Feng,,Kensington and Chelsea,51.50959,-0.19473,Shared room,125,1,0,,,1,0,0,
4612667,QUIET DOUBLE ROOM 2 MINS FROM TUBE!,23897663,Paul,,Islington,51.54611,-0.10613,Private room,57,2,97,2019-08-14,1.14,2,336,0,
5026463,Double room in London,25941234,Nergis,,Lambeth,51.48391,-0.12316,Private room,55,3,13,2021-11-08,0.16,3,362,4,
5049699,Modern 1 bed just 5 min walk to CFC,26068846,Jacqualine,,Hammersmith and Fulham,51.48098,-0.19668,Entire home/apt,98,3,65,2020-02-21,0.78,1,285,0,
5597024,"Huge room, great location!",16636747,Josh,,Hackney,51.5672,-0.0736,Private room,25,5,0,,,1,0,0,
5605668,"Victorian house in Brockley, London",12602072,Corin,,Lewisham,51.45564,-0.03477,Entire home/apt,150,1,0,,,1,0,0,
5706784,Modern Private Studio Room,29586367,Ashley,,Enfield,51.6112,-0.12411,Private room,65,1,61,2021-10-25,0.96,2,335,4,
5847239,Single room for young lady,30357801,Kiki And Marko,,Wandsworth,51.42406,-0.14791,Private room,28,2,2,2015-11-11,0.03,1,0,0,
6181613,Chic 2-bed in heart of Kensington with terrace,20001519,VanZyl,,Kensington and Chelsea,51.50323,-0.19236,Entire home/apt,181,3,2,2020-08-01,0.12,47,0,0,
6350888,Suburban life 20 minutes from City!,33086902,Eileen,,Redbridge,51.58593,0.03181,Private room,25,2,62,2021-09-08,0.78,2,85,1,
6470478,Beautiful Refurbished King Room R2,33802425,Susie,,Hammersmith and Fulham,51.48106,-0.20978,Private room,112,1,5,2020-12-28,0.06,11,346,1,
6479011,"Riverside,Large Private Double room with ensuite",31781297,Melanie,,Hammersmith and Fulham,51.48956,-0.24368,Private room,70,2,181,2021-12-02,2.3,1,302,12,
6557314,"Bow Road, Big Double Room. East LND",34294420,Rene,,Tower Hamlets,51.5265,-0.02561,Private room,50,1,0,,,1,0,0,
6617446,Comfortable Dalston flat,11845087,Sarah,,Hackney,51.54756,-0.06426,Entire home/apt,40,2,2,2015-09-20,0.03,1,0,0,
6623759,"Luxurious, Spacious Apartment, Kings Road, London",34666873,Geeta,,Kensington and Chelsea,51.48829,-0.15997,Entire home/apt,95,1,20,2020-03-01,0.55,1,1,0,
6856552,Modern Apartment near Notting Hill,18810370,Bethany,,Brent,51.53763,-0.22758,Entire home/apt,90,3,6,2015-12-06,0.08,1,0,0,
6864292,Light & spacious room south London,35970047,Ben,,Lambeth,51.474,-0.10244,Private room,40,1,3,2015-08-19,0.04,1,0,0,
6902135,Room in East London - 4mins to Tube,36168186,Onur,,Islington,51.52705,-0.09048,Private room,45,1,0,,,1,0,0,
6913645,Spacious bedroom in Finsbury Park,23906595,Paul,,Islington,51.56014,-0.11066,Private room,40,1,1,2015-06-30,0.01,3,0,0,
6930884,Mayfair 1 sgl bed in 1st floor flat,36334329,Mortimer,,Westminster,51.51339,-0.14929,Private room,67,2,101,2020-09-19,1.29,2,157,0,
6966615,Male shared twin room w/Wi-Fi (a),33426547,LHA London - Belvedere House,,Kensington and Chelsea,51.49662,-0.18651,Shared room,26,1,5,2017-07-18,0.06,9,0,0,
7120651,WAREHOUSE ROOM AVAILABLE,37300908,Joseph,,Haringey,51.57577,-0.08697,Private room,20,1,3,2015-07-19,0.04,1,0,0,
7275367,Modern 2 Bed 2 Bathroom with Garden,35902113,Ali,,Hammersmith and Fulham,51.48447,-0.19584,Entire home/apt,145,3,60,2021-04-30,0.79,2,306,3,
7324287,Nice dbl room in central London,38367441,Soho,,Camden,51.51682,-0.13052,Private room,85,2,27,2016-04-09,0.35,1,0,0,
7428524,2 Bed Garden Flat in Iconic Square,36952108,Emma,,Camden,51.54017,-0.15401,Entire home/apt,140,1,2,2016-07-24,0.03,1,0,0,
7613234,Double room in a modern property,20124149,Andrea,,Lambeth,51.43937,-0.11301,Private room,34,2,15,2018-07-03,0.2,2,0,0,
7646192,A dbl  room with ensuite shower,40120514,Jamie,,Wandsworth,51.4556,-0.21335,Private room,75,1,0,,,2,365,0,
7796809,Dble Room near Clapham & Brixton,41038253,Emma,,Lambeth,51.46184,-0.12592,Private room,40,1,0,,,1,0,0,
7862460,"Beautiful one bed flat: Clapton, E5",30686512,Holly,,Hackney,51.5678,-0.0557,Entire home/apt,81,3,13,2020-03-29,0.18,1,0,0,
7949930,Tranquil room overlooking garden in artist's home,34526293,Sue,,Southwark,51.46061,-0.07904,Private room,40,2,56,2019-10-07,0.99,1,1,0,
7951962,Modern 2 Bed Flat Central Brixton,16699760,James,,Lambeth,51.46209,-0.115,Entire home/apt,80,2,4,2016-06-05,0.05,1,0,0,
8042652,Private room in super friendly home,42470709,Terri,,Hackney,51.55169,-0.07823,Private room,23,1,0,,,1,0,0,
8199977,Beautiful Mews house  London,43248680,Duncan,,Bromley,51.4195,0.06952,Private room,85,1,1,2015-09-24,0.01,1,0,0,
8205298,Culford Gardens,19554144,James,,Kensington and Chelsea,51.49082,-0.16144,Entire home/apt,250,1,0,,,1,0,0,
8317243,Open plan ground floor apartment,43848275,Arthur,,Hackney,51.54736,-0.04316,Entire home/apt,80,1,1,2016-01-02,0.01,1,0,0,
8419519,2 Bed Luxury Flat on Richmond Hill,44344631,Conn,,Richmond upon Thames,51.45344,-0.29845,Entire home/apt,500,2,0,,,1,365,0,
8480006,Eclectic Flat in the ♥️ of Shoreditch,44117422,A&M,,Tower Hamlets,51.52207,-0.07331,Entire home/apt,89,4,49,2021-11-26,0.77,2,2,1,
8494414,Home  for Art Lovers set in Garden,26282658,Dan,,Richmond upon Thames,51.4574,-0.29834,Entire home/apt,332,3,58,2021-10-11,0.78,1,96,7,
8522451,Putney modern flat,37637619,Tatiana,,Wandsworth,51.45265,-0.19791,Entire home/apt,73,2,60,2020-01-03,0.8,1,9,0,
8834649,Double room 12 min from the tube,45076665,Katherina,,Waltham Forest,51.58887,-0.01895,Private room,36,3,85,2021-11-12,1.14,2,355,10,
8911594,4* Luxury Townhouse in Chelsea,46609345,William,,Kensington and Chelsea,51.48936,-0.18033,Entire home/apt,201,2,75,2019-09-21,1.01,2,0,0,
8932746,Lovely 2 bed at Garrick Street - CG09,33421573,Stayo,,Westminster,51.5118,-0.12667,Entire home/apt,256,1,91,2021-11-20,1.22,64,219,15,
8985477,Cosy Room close to Kings Cross 3,22164664,Luis And Iona,,Islington,51.52737,-0.11329,Private room,190,1,222,2021-11-30,3.0,8,0,10,
9111194,Spacious two bedroom flat overlooking the park,6580108,James & Sophie,,Lewisham,51.44686,-0.03662,Entire home/apt,85,2,58,2020-09-05,0.78,1,0,0,
9204740,buxton court,47859108,Chaney,,Islington,51.52885,-0.09524,Private room,50,2,0,,,1,0,0,
9285397,Islington Apartment,5723138,Lauren,,Islington,51.54356,-0.11522,Entire home/apt,75,5,10,2017-07-01,0.17,1,0,0,
9476800,Nice double room near King's Cross,49118759,Sara,,Islington,51.53762,-0.1179,Private room,47,3,0,,,1,0,0,
9658767,Modern and clean flat in London,49924640,Turchian,,Richmond upon Thames,51.45563,-0.30119,Entire home/apt,80,1,1,2016-01-05,0.01,1,0,0,
9744038,"Spacious, bright, & charming flat",50269743,Tariq,,Hammersmith and Fulham,51.50185,-0.23118,Entire home/apt,80,12,0,,,1,0,0,
9924192,Bel appartement au coeur de Londres,32059203,Guillaume,,Tower Hamlets,51.52186,-0.07632,Entire home/apt,125,1,0,,,1,0,0,
10080163,Perfect Studio in Camden,1600981,Shibu,,Islington,51.55127,-0.12613,Entire home/apt,89,2,0,,,1,0,0,
10370661,Lovely studio flat in Chelsea,23530465,Andy,,Kensington and Chelsea,51.49318,-0.2,Private room,45,1,0,,,1,0,0,
10408740,Trendy 2 bedroom flat in Shoreditch,7807701,Joseph,,Hackney,51.54002,-0.07955,Entire home/apt,148,2,6,2016-12-12,0.08,1,0,0,
10789982,Double Room 12 min to centre London,55823837,Antonio,,Lewisham,51.47544,-0.0315,Private room,50,1,0,,,1,365,0,
10816538,A trendy and homely apartment,40772427,Elisha,,Enfield,51.60897,-0.10806,Entire home/apt,100,3,0,,,2,73,0,
10914098,"3 bed family home, Queen's Park",33889201,Veeve,,Brent,51.54187,-0.20297,Entire home/apt,468,1,2,2018-10-27,0.03,845,1,0,
11003582,Massive room in Leicester Square +Free Breakfast,37467786,Wynn,,Westminster,51.5096,-0.12621,Private room,105,2,292,2021-12-02,4.18,2,316,24,
11006091,MARBLE ARCH INN (CENTRAL LONDON),57112121,Demos,,Westminster,51.51407,-0.16254,Private room,64,1,0,,,1,0,0,
11063475,Newly refurbished Victorian House,36804613,Nicholas,,Wandsworth,51.44107,-0.1585,Entire home/apt,300,1,0,,,1,0,0,
11278099,Bright airy Dbl Room in top floor apartment,58896883,Ross,,Wandsworth,51.47265,-0.17266,Private room,70,2,1,2018-09-23,0.03,1,90,0,
11766029,2 bed Victorian terrace close to Wimbledon tennis,19052631,Vicki,,Merton,51.42786,-0.19637,Entire home/apt,275,2,6,2019-07-08,0.09,1,0,0,
11891875,"Spacious, bright double room Brixton/Clapham",3930930,Liz,,Lambeth,51.45412,-0.12707,Private room,40,1,0,,,1,0,0,
11917546,Lovely roof conversion in warehouse,63590576,Sam,,Haringey,51.57554,-0.08985,Private room,33,1,0,,,1,0,0,
11938782,Sunny room in charming Hackney flat,61799337,Julia Marie,,Hackney,51.54848,-0.05404,Private room,25,2,7,2018-05-30,0.1,1,0,0,
12087145,Beautiful Apart. in Fulham/Chelsea,18104925,Rabih,,Hammersmith and Fulham,51.48014,-0.19365,Entire home/apt,163,7,45,2018-08-03,0.67,1,58,0,
12140520,Old Street Single room in lovely flat,4775,Sebastian,,Islington,51.5263,-0.08812,Private room,56,2,240,2021-11-11,3.48,7,329,10,
12225196,Luminous Penthouse appartment - Tower bridge,27010381,Paul,,Southwark,51.50364,-0.07535,Entire home/apt,150,2,0,,,1,0,0,
12324811,"Comfortable, stylish family home",66499817,Beth,,Hammersmith and Fulham,51.50996,-0.23944,Entire home/apt,150,5,0,,,1,0,0,
12484611,Large Double Room in East London,67173015,Jamie,,Newham,51.53073,-0.00702,Private room,30,1,1,2016-04-23,0.01,1,0,0,
12701341,"Bright,Airy apartment",1581419,Catherine,,Wandsworth,51.46391,-0.16215,Private room,345,1,0,,,1,365,0,
12852311,Big room in huge flat in Haggerston,41289215,Sabba,,Hackney,51.53637,-0.07654,Private room,27,1,2,2016-07-29,0.03,1,0,0,
12866729,Sunny flat in East London,14073834,Jerome,,Hackney,51.53939,-0.0538,Private room,40,20,0,,,1,0,0,
12942295,Large single room 20minutes from centre of London,71099985,Silvia,,Brent,51.54892,-0.22434,Private room,42,1,127,2021-11-27,1.89,1,336,13,
13035561,"Beautiful, light, central apartment",3988645,Hannah,,Islington,51.56561,-0.13214,Entire home/apt,90,2,19,2017-01-01,0.29,2,0,0,
13131313,Period two bed apartment,73134251,Simon,,Kingston upon Thames,51.42675,-0.3056,Entire home/apt,85,5,57,2019-07-15,0.87,1,0,0,
13135584,Central.  Italian hospitality,46374187,Joe,,Brent,51.53953,-0.19779,Private room,90,2,0,,,1,178,0,
13280212,Cosy Bethnal Green flat with the best view in town,1660271,Luar,,Tower Hamlets,51.52738,-0.06171,Entire home/apt,64,7,1,2016-08-21,0.02,1,0,0,
13357432,Private room & personal bathroom,47364517,Matthew & Ally,,Haringey,51.59357,-0.13972,Private room,80,1,79,2021-11-14,1.18,1,215,3,
13445544,"Family Home, London N3, Close to Tube",26462344,Jonny,,Barnet,51.59557,-0.1854,Entire home/apt,140,6,0,,,1,0,0,
13463318,Modern 2 bed home 15mins to Cntrl London with cat!,13000794,Ed And Jane,,Lewisham,51.46284,-0.01886,Entire home/apt,81,4,1,2016-10-02,0.02,1,0,0,
13501065,The Fitzrovia Central Apartment,22080889,Giudas William,,Westminster,51.51821,-0.14057,Private room,72,2,140,2019-10-16,2.11,2,0,0,
13557685,Cosy double room Seven Sisters,13731554,Pascale,,Haringey,51.58297,-0.07912,Private room,33,2,3,2017-07-23,0.05,1,0,0,
13587755,"Quiet & cosy Putney house, nr the river & High St.",20839407,Patrick,,Wandsworth,51.46307,-0.21958,Entire home/apt,79,7,2,2017-12-31,0.04,1,0,0,
13642752,Sparkling clean lrg ensuite dbl bedroom - Chiswick,58681790,Georgie,,Hounslow,51.49183,-0.27911,Private room,60,1,123,2020-03-14,1.86,3,9,0,
13729392,3 bedroom family house in East Putney with garden,17590681,Sophie,,Wandsworth,51.45544,-0.20108,Entire home/apt,130,3,0,,,1,0,0,
13745959,Lux Private Bedroom near Central London,80495965,Ivana,,Wandsworth,51.45984,-0.16598,Private room,45,1,187,2020-03-17,2.83,1,0,0,
13806334,Lovely twin room near Wimbledon tennis,78409444,Lucy,,Wandsworth,51.43969,-0.21841,Private room,48,1,25,2021-11-25,0.4,3,148,5,
13814504,Eccentric yet cozy 1 bedroom apartment,81335999,James,,Croydon,51.37426,-0.08422,Entire home/apt,45,14,0,,,1,0,0,
13826971,Charming 3 bed house in Chalk Farm (London NW5),28746949,Geraldine,,Camden,51.5482,-0.15328,Entire home/apt,159,14,37,2021-08-04,0.56,2,166,5,
14137784,1 West View - Cottage,85323239,Magnus,,Camden,51.5668,-0.14537,Entire home/apt,280,3,13,2018-07-08,0.2,1,78,0,
14572336,Beautiful spacious 1 bedroom flat with balcony,14314315,Mindaugas,,Islington,51.53691,-0.0891,Entire home/apt,100,1,0,,,1,0,0,
14836659,Stunning river views in beautiful Chelsea flat!,50382446,Lucy,,Kensington and Chelsea,51.48192,-0.1786,Private room,34,1,18,2019-05-15,0.34,2,0,0,
15142942,East London Flat : Broadway Market,29553197,Elle,,Hackney,51.53592,-0.06227,Entire home/apt,120,3,33,2021-12-08,0.74,2,184,10,
15155359,Luxury Apartment Regents Park Central London,29160743,Zahra,,Camden,51.53867,-0.14979,Entire home/apt,190,5,1,2016-09-26,0.02,1,0,0,
15340247,Modern & stylish 1 bedroom apartment,97597550,Jay,,Wandsworth,51.46762,-0.15859,Entire home/apt,109,1,23,2017-07-30,0.37,1,0,0,
15830141,"Double ensuite - newbuild, luxury, just for you",9513393,Anna,,Waltham Forest,51.56842,-0.00953,Private room,125,2,8,2019-06-30,0.19,3,0,0,
15868941,Cosy bright Flat with a nice sharing space,102868551,Cristina,,Ealing,51.50106,-0.38529,Shared room,25,2,0,,,1,54,0,
15934578,Central Flat. Balcony. Parliament. Riverside. Gym,4185532,Mona,,Lambeth,51.48577,-0.12486,Entire home/apt,135,4,6,2021-11-02,0.1,1,364,4,
15987247,Nice and calm room to relax,90277845,Mostafa,,Southwark,51.46554,-0.05815,Private room,35,3,0,,,2,0,0,
16093376,double bed,103805316,Suzi,,Ealing,51.52361,-0.25465,Private room,35,7,0,,,1,0,0,
16118916,Elegant and Chic Open Plan Loft Apartment,92475227,Mark,,Islington,51.52524,-0.10906,Entire home/apt,120,2,21,2017-04-24,0.35,1,0,0,
16153271,"Spacious, quiet and light three-bed flat in Camden",105426925,Anna,,Camden,51.54738,-0.14955,Entire home/apt,90,3,24,2021-05-31,0.4,1,0,1,
16331881,Lovely Apartment With Balcony Near Little Venice,8026352,Eden,,Westminster,51.52768,-0.19224,Entire home/apt,60,2,2,2017-07-20,0.03,1,0,0,
16365885,Brand new spacious luxury flat - Central London,19804268,Amy,,Southwark,51.50216,-0.03778,Entire home/apt,88,2,4,2018-05-18,0.07,3,0,0,
16397301,A Charming Victorian Home Walk to London Bridge!,13770205,Stephen,,Southwark,51.49143,-0.0813,Entire home/apt,106,30,61,2021-08-01,1.05,32,154,2,
16648005,"Lovely Double Ensuite, Private Entrance, Garden :)",27582220,Byron,,Brent,51.53552,-0.21736,Private room,49,2,79,2018-10-22,1.32,1,0,0,
16838198,A cosy flat inc everything you need with parking,87681278,Conor,,Hounslow,51.45638,-0.33712,Entire home/apt,59,2,2,2017-06-11,0.04,1,0,0,
16857193,Cosy Cute & Warm Flat,1995653,Toby,,Enfield,51.61079,-0.12115,Entire home/apt,79,5,7,2018-06-09,0.12,1,0,0,
16909113,Single room near kings cross,35261472,Wanyu,,Camden,51.527,-0.12705,Private room,55,2,0,,,1,0,0,
16909230,"Smart 4 bedroom, 3.5 bath, 3 floor +private garage",77455943,Cindy,,Westminster,51.51596,-0.18063,Entire home/apt,368,5,18,2021-11-29,0.32,8,74,7,
16968463,Wanderlust room: private room ideal for explorers,48543864,Ana,,Southwark,51.47915,-0.08897,Private room,73,2,92,2020-02-19,1.65,6,256,0,
17274811,Budget accommodation 4,8312717,Nicky,,Ealing,51.50678,-0.26619,Private room,49,1,195,2021-11-28,3.34,6,337,21,
17296930,Arty Loft in a 120-Year-Old Building in Central Shoreditch,56439968,Branca,,Tower Hamlets,51.52419,-0.0743,Entire home/apt,178,1,42,2021-11-21,0.77,9,323,12,
17326019,Cozy double room zone 2 london,111515530,A,,Brent,51.54922,-0.23008,Private room,31,1,4,2017-03-15,0.07,2,0,0,
17569436,The railway home,119293160,Besley,,Wandsworth,51.41997,-0.14028,Private room,55,1,0,,,1,0,0,
17618552,Charming Spacious Room central London E1,88569660,Lily,,Tower Hamlets,51.51782,-0.05554,Private room,54,1,45,2021-12-08,0.78,2,84,20,
17700664,"1 Stop From Kings Cross, Rooftop Garden Apartment",523246,Francesca,,Islington,51.54903,-0.10609,Private room,50,3,3,2020-10-13,0.06,2,32,0,
17974566,Modern one bedroom flat in Baker St 2/91GP,105095331,Justina,,Westminster,51.51989,-0.15781,Entire home/apt,142,7,0,,,8,0,0,
18027847,Spacious Double Room 2 minutes from overground,16571254,Sanne,,Ealing,51.51117,-0.26484,Private room,22,1,0,,,1,0,0,
18090524,*BEAUTIFUL* refurbished apartment in Kensington,5486613,Niels,,Kensington and Chelsea,51.51887,-0.22543,Entire home/apt,95,2,34,2019-08-29,0.6,1,0,0,
18186852,Family Studio Sleeps 5 Next To Museums CF1,120618758,Hiten,,Kensington and Chelsea,51.49396,-0.18698,Entire home/apt,103,2,84,2020-10-28,1.49,13,0,0,
18224323,Bright 1 bedroom Bayswater/Queensborough Terrace.,83740964,Ali,,Westminster,51.51341,-0.18666,Entire home/apt,99,2,46,2021-11-08,0.83,124,131,1,
18387801,King size room with ensuite in heart of old street,16814294,Elliot,,Islington,51.52822,-0.09291,Private room,47,1,1,2017-05-13,0.02,1,0,0,
18643432,Spacious Double Bedroom in Edwardian flat - SW20,129538934,Emma,,Merton,51.41307,-0.23415,Private room,40,4,0,,,1,0,0,
18678502,Lovley studio flat in willesden green NW2!!!,57989340,Gareth,,Brent,51.54903,-0.22513,Entire home/apt,40,2,4,2021-11-23,0.07,43,15,1,
18725903,"Bright Double bedroom, 5 mins to tube, sw19",67500800,Maria I,,Merton,51.41721,-0.16805,Private room,25,2,8,2017-08-03,0.15,3,0,0,
18773665,Double room on ground floor for mid week stays,74019024,Sophie,,Camden,51.54169,-0.14206,Private room,40,2,4,2017-07-06,0.07,1,0,0,
18782767,A lovely Room,18086681,Ahmed,,Islington,51.5466,-0.12481,Private room,51,1,13,2017-12-04,0.24,2,84,0,
18969636,Double room with private bathroom,11848185,Ruchira,,Hounslow,51.46129,-0.37602,Private room,38,1,74,2021-11-14,1.39,3,357,5,
18983109,A Beautiful Cosy 2-Bed in Clapham Junction,132020069,Katherine,,Wandsworth,51.46108,-0.18111,Entire home/apt,103,2,8,2017-07-25,0.15,1,0,0,
19100249,Light & spacious home steps from Wimbledon Park,34570083,Fran,,Wandsworth,51.43946,-0.20464,Entire home/apt,164,2,1,2020-01-08,0.04,1,0,0,
19155975,Large room with garden and your own bathroom,698584,Andrey,,Tower Hamlets,51.51097,-0.03187,Private room,39,1,41,2019-10-04,0.78,3,0,0,
19467124,Double bedroom in modern central London apartment,2610153,Charles,,Islington,51.5366,-0.12076,Private room,40,2,79,2019-05-12,1.47,1,0,0,
19545267,Gorgeous flat with stunning views over London,7296654,Eleanor,,Islington,51.56928,-0.13332,Entire home/apt,85,21,1,2017-12-28,0.02,1,0,0,
19566845,"Luxury One Bed - Near O2 Arena, Blackheath",16317033,Scott,,Greenwich,51.47835,0.01902,Entire home/apt,156,2,71,2021-11-30,1.33,1,336,8,
19569856,2 bedroom apartment with stunning reservoir views,3671268,Milly,,Hackney,51.56706,-0.0924,Entire home/apt,57,4,10,2019-08-23,0.19,1,0,0,
19736341,"Double Bedroom in lovely bright, modern flat.",14790238,Anna,,Enfield,51.61056,-0.07025,Private room,38,2,64,2020-03-09,1.24,1,64,0,
19835759,Amazing and large 2 bedroom apartment - long stays,119463580,Jean,,Hackney,51.52634,-0.08087,Entire home/apt,185,15,0,,,37,176,0,
19881646,Modern Victorian Kennington,7017012,Catherine,,Lambeth,51.49172,-0.11043,Entire home/apt,99,2,3,2017-09-15,0.06,2,0,0,
19886044,Spare bedroom with own private bathroom in Poplar,140752659,Maria,,Tower Hamlets,51.5161,-0.02095,Private room,50,7,0,,,1,0,0,
19889129,Entire house in Stoke Newington,3461584,Caroline,,Hackney,51.56112,-0.07925,Entire home/apt,90,2,18,2018-06-04,0.34,1,0,0,
20030052,Brand New Studio Flat close to Central London,31650866,Stefan,,Camden,51.5445,-0.17684,Entire home/apt,69,2,0,,,1,0,0,
20071920,Perfect London base: Flat & garden near Victoria.,142668544,Jonathan,,Westminster,51.48756,-0.13714,Entire home/apt,50,1,10,2020-02-16,0.19,1,0,0,
20090931,"Cosy 1 Bedroom flat with Amazing View, Sleeps 3",102722072,Olga,,Southwark,51.49423,-0.03396,Entire home/apt,83,2,24,2021-04-02,0.46,1,6,4,
20511903,Ivy | Donne Place | Pro-Managed,10961046,Ivy,,Kensington and Chelsea,51.49464,-0.16641,Entire home/apt,462,5,5,2021-07-31,0.14,67,257,1,
20515941,GREAT double room in a spacious townhouse,146469405,Alexander,,Wandsworth,51.46509,-0.1548,Private room,21,3,1,2017-09-08,0.02,1,0,0,
20669304,Apartment in leafy Hampstead,142485163,Josu,,Camden,51.55753,-0.18626,Private room,200,14,2,2017-09-29,0.04,1,83,0,
20792535,Cosy private bedroom in trendy Stoke Newington,44846440,Simone,,Hackney,51.55753,-0.08625,Private room,36,3,0,,,1,0,0,
20797744,Riverview Room in one bedroom apartment,149100268,Marzena,,Wandsworth,51.47002,-0.17664,Private room,100,3,0,,,1,0,0,
20844051,Double room on Brick Lane,22159377,Amelia,,Tower Hamlets,51.51732,-0.07204,Private room,60,6,69,2020-03-15,1.36,2,0,0,
20950129,"London City Centre, 4 Bedrooms with Amazing Views!",6875353,Nathan,,Tower Hamlets,51.51644,-0.07319,Entire home/apt,239,2,35,2019-11-21,0.7,8,0,0,
21131581,LUXURY in Central London - Marylebone & Selfridges,63620122,Kaisar,,Westminster,51.51414,-0.15013,Entire home/apt,265,8,9,2021-09-14,0.24,2,50,3,
21277033,"2 bed flat, shepherds bush, london",114327438,Sarah,,Hammersmith and Fulham,51.50363,-0.21743,Entire home/apt,88,1,2,2017-10-22,0.04,1,0,0,
21317696,Elegant 3 Bed 4 Bath South Kensington Home,150125438,Tom,,Kensington and Chelsea,51.49513,-0.18016,Entire home/apt,339,2,88,2021-11-21,1.9,3,327,41,
21348750,All the comforts of home,1724530,Samuel,,Hammersmith and Fulham,51.48051,-0.20521,Entire home/apt,237,1,6,2019-06-19,0.12,1,0,0,
